마일스톤,트랙 / 저장소,WBS 코드,세부 업무 (Task),산출물 (Deliverables),수행 방법 (Method),시작일,종료일,진행률,Jira 티켓 연동
"M1: 기반 환경 구축","strange_infra","M1-INF-01","EMQX MQTT 브로커 Docker 클러스터 배포 및 토픽/보안(ACL) 규칙 기본 설계","emqx.conf 및 docker-compose.infra.yml 파일","인프라","2026-05-26","2026-05-29","0%","SSD-5"
"","strange_infra","M1-INF-02","로컬 Edge 단말 및 개발 서버 간의 포트포워딩, DDNS 및 VPN 내부망 가상 네트워크 구동","네트워크 가상 망 구성 설계서","네트워크","2026-05-30","2026-06-01","0%","SSD-6"
"","strange_ai","M1-AI-01","Jetson Orin 하드웨어 가속기(TensorRT) 연동 및 YOLOv8-Pose 최적화 환경 구축","TensorRT Engine 빌드 및 배포 스크립트","AI개발","2026-05-26","2026-06-01","0%","SSD-7"
"","strange_ai","M1-AI-02","RTSP 카메라 스트림 수신 및 OpenCV/GStreamer 하드웨어 디코딩 프레임 캡처 모듈 구현","스트리밍 프레임 캡처 소스코드","AI개발","2026-06-02","2026-06-08","0%","SSD-8"
"","strange_back","M1-BAC-01","Spring Boot 3.3 기반 아키텍처 초기화, 멀티 모듈 및 JPA/QueryDSL 기본 인프라 구조 설정","build.gradle 및 Core 도메인 소스코드","백엔드","2026-05-26","2026-06-01","0%","SSD-9"
"","strange_back","M1-BAC-02","Spring Security 및 JWT 기반 역할별(점주, 보안요원, 유관기관) 회원가입/인증 프로세스 설계","Security Config 및 사용자 인증 API","보안","2026-06-02","2026-06-08","0%","SSD-10"
"","strange_front","M1-FRO-01","Next.js 14 / Vite 기반 UI 보일러플레이트 세팅 및 글로벌 디자인 시스템(글래스모피즘, 다크모드) 토큰 정의","tailwind.config.js 및 index.css 테마 파일","프론트","2026-05-26","2026-06-01","0%","SSD-11"
"","strange_front","M1-FRO-02","WebSocket STOMP 프로토콜 연동 및 기본 클라이언트 커넥션 헬스체크 구현","WebSocket Context Provider 컴포넌트","통신","2026-06-02","2026-06-08","0%","SSD-12"
"M2: 핵심 기능 개발","strange_ai","M2-AI-01","ByteTrack 기반 다중 객체 추적(MOT) 및 실시간 ID 일시 소실 보정을 위한 Identity Stitching 알고리즘 개발","ByteTrack 커스텀 래퍼 클래스 및 Stitching 소스코드","AI개발","2026-06-09","2026-06-19","0%","SSD-13"
"","strange_ai","M2-AI-02","LSTM/ST-GCN 기반 3대 위협 행동(낙상, 실신, 폭행) 기하 수학 엔진 및 실시간 분류 파이프라인 개발","행동 분류 모델(ST-GCN) 파일 및 수학 엔진 모듈","AI모델","2026-06-20","2026-06-30","0%","SSD-14"
"","strange_infra","M2-INF-01","PostgreSQL 관계형 DB 및 Redis 분산 캐시 DB 도커 컨테이너화 및 커넥션 풀 최적화","docker-compose.db.yml 및 DB 스키마 DDL","데이터베이스","2026-06-09","2026-06-19","0%","SSD-15"
"","strange_infra","M2-INF-02","Github Actions 기반의 4개 마이크로 레포지토리 빌드 자동화 및 Edge 단말 CD 파이프라인 구축","github-actions.yml 워크플로우 명세서","CI/CD","2026-06-20","2026-06-30","0%","SSD-16"
"","strange_back","M2-BAC-01","Spring WebFlux 리액티브 MQTT 리스너 구축 및 비동기 수신 이벤트 파이프라인 최적화","MQTT Inbound Adapter 및 리스너 클래스","백엔드","2026-06-09","2026-06-15","0%","SSD-17"
"","strange_back","M2-BAC-02","Redis 분산 캐시 기반 실시간 이벤트 디바운싱(TTL 30초 내 중복 알림 필터링) 및 에러 격리 처리 개발","Debouncer Service 및 Redis 캐싱 로직","백엔드","2026-06-16","2026-06-22","0%","SSD-18"
"","strange_back","M2-BAC-03","Firebase Cloud Messaging(FCM) HTTP v1 비동기 알림 전송 API 및 디바이스 토큰 관리 서비스 구현","FCM Sender Service 및 토큰 관리 API","알림","2026-06-23","2026-06-30","0%","SSD-19"
